# LAMMPS data file written by OVITO Basic 3.7.8
73 atoms
3 atom types
0.0 15.92720863 xlo xhi
0.0 13.79347811 ylo yhi
0.0 13.22380977 zlo zhi
-7.963415974 0.0 0.0 xy xz yz

Masses

1 95.94  # Mo
2 32.065  # S
3 1.00794  # H

Atoms  # charge

1 1 0.0 8.41961e-05 1.839093018 3.305950055
2 2 0.0 1.592792887 0.919530311 4.870724234
3 2 0.0 1.592791969 0.919526898 1.741194285
4 1 0.0 -1.592597621 4.597789031 3.305962359
5 2 0.0 1.08934e-04 3.678225386 4.870718168
6 2 0.0 1.10205e-04 3.678220602 1.741187638
7 1 0.0 -3.185281087 7.356485001 3.305971672
8 2 0.0 -1.592574062 6.436918801 4.870713946
9 2 0.0 -1.592572116 6.436919467 1.741183603
10 1 0.0 -4.777965811 10.11518084 3.305965602
11 2 0.0 -3.185257025 9.195612579 4.870716798
12 2 0.0 -3.185257762 9.195617819 1.741186934
13 1 0.0 -6.370649378 12.87387633 3.3059527
14 2 0.0 -4.777939949 11.9543095 4.870723482
15 2 0.0 -4.777943177 11.95431268 1.741193136
16 1 0.0 3.185526072 1.839093896 3.305953896
17 2 0.0 4.778235441 0.919529289 4.87072192
18 2 0.0 4.778232694 0.919527403 1.741192291
19 1 0.0 1.592842239 4.597788455 3.305961509
20 2 0.0 3.185551988 3.678225485 4.870719098
21 2 0.0 3.185550885 3.678221755 1.741189148
22 1 0.0 1.5921e-04 7.35648425 3.305970342
23 2 0.0 1.592867659 6.436918759 1.741186827
24 1 0.0 -1.592524421 10.11518027 3.305967183
25 2 0.0 1.83315e-04 9.195612817 4.87072006
26 2 0.0 1.84529e-04 9.195616675 1.741189028
27 1 0.0 -3.185208103 12.87387595 3.305956795
28 2 0.0 -1.592499357 11.95430975 4.870720965
29 2 0.0 -1.59250089 11.95431114 1.741191297
30 1 0.0 6.370968192 1.839093342 3.305952513
31 2 0.0 7.963677223 0.919528857 4.870719811
32 2 0.0 7.963675965 0.919526444 1.741190152
33 1 0.0 4.778285419 4.597787983 3.305958946
34 2 0.0 6.370995515 3.678224425 4.870717171
35 2 0.0 6.370993228 3.678221843 1.741187456
36 1 0.0 3.185601304 7.356483842 3.305962553
37 2 0.0 4.778309308 6.436919006 1.741187431
38 1 0.0 1.59291711 10.11518061 3.305959471
39 3 0.0 3.18562467 9.195611968 4.870721435
40 2 0.0 3.185625883 9.195616722 1.74119209
41 1 0.0 2.33909e-04 12.87387534 3.305951367
42 2 0.0 1.592941537 11.95431054 4.870722896
43 2 0.0 1.592943799 11.95431074 1.741193384
44 1 0.0 9.556410388 1.839093475 3.305947904
45 2 0.0 11.14911785 0.919530225 4.870721412
46 2 0.0 11.14911929 0.919525286 1.741191526
47 1 0.0 7.963727574 4.597789072 3.305958934
48 2 0.0 9.556436506 3.678225272 4.870714926
49 2 0.0 9.556435645 3.678222175 1.741185116
50 1 0.0 6.371043522 7.356483915 3.305960526
51 2 0.0 7.963753633 6.436917977 4.870714897
52 2 0.0 7.963751633 6.436920103 1.741185069
53 1 0.0 4.77835873 10.11517965 3.305953556
54 2 0.0 6.371068027 9.19561069 4.870721773
55 2 0.0 6.371066772 9.195617073 1.741192359
56 1 0.0 3.185677054 12.87387532 3.305945231
57 2 0.0 4.778384148 11.95430944 4.870726591
58 2 0.0 4.778385726 11.95431056 1.741196726
59 1 0.0 12.74185213 1.839092912 3.305946633
60 2 0.0 14.33455947 0.919529955 4.870724039
61 2 0.0 14.33456069 0.919524714 1.741193699
62 1 0.0 11.14916947 4.597789027 3.305960284
63 2 0.0 12.74187703 3.678225556 4.870715402
64 2 0.0 12.74187844 3.678220874 1.741185533
65 1 0.0 9.556485972 7.35648417 3.305966217
66 2 0.0 11.14919518 6.43691848 4.870712725
67 2 0.0 11.14919459 6.436920079 1.741182525
68 1 0.0 7.963801442 10.11517954 3.305957345
69 2 0.0 9.556511306 9.195611321 4.870719076
70 2 0.0 9.556508566 9.195617799 1.741189118
71 1 0.0 6.371118459 12.8738757 3.305945636
72 2 0.0 7.963827307 11.95430873 4.870726542
73 2 0.0 7.963825804 11.95431142 1.741196629
